technical_name,business_name,status,products,rb_datasets,api_feeds,definition
shpg_cost_actl_amt,Shipping Cost Actual Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,Actual outbound shipping cost to the customer or the store from the carrier invoice.
shpg_mthd_chrg_array,Current Lowest Ship Method,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;omni_sales,product_dimensions,The minimum amount that Walmart is charging the customer for shipping. This gives the supplier an estimate of how much total money the customer must pay for that item or Walmart is investing in that item. Free shipping means Walmart is bearing the shipping cost and making a lower margin. All these factors are considered in cost negotiation.
shpg_zip_cd,Shipping Zip Code,APPROVED,13:Report Builder,bottle_deposit,,5 digit zip code of customer shipping address.
shpmnt_ts,Shipment Timestamp,APPROVED,9:API Glossary,,ecomm_subscriptions,"The carrier shipment timestamp. For store pickup orders, shpmnt\_actl\_ts is also populated with the customer pick-up timestamp.Example: 2023-06-08 05:40:25.000"
signing_desc,Signing Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"Displayed on shelf signs or flags at the store. It is used for all lines of the business (Hardlines, Grocery, etc.). It could be the same as Item description."
size_desc,Size Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"A 6-character description that is transmitted to the store and printed on the shelf label. But depending on the department, it could have a different meaning.Hardlines - It is another six-character description of the merchandise.Softlines - It is selected in the BIF system from the variants available and should have true size meaning for apparel and shoes.Also transmitted to a third party for the preparation of merchandise price tags. This is called Shelf Label 2 description in MIM."
soft_open_dt,Soft Open Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,store_dimensions,The Date that the store had their soft opening to test out the system with customers.
squeeze_ind,Squeeze Indicator,APPROVED,5:BI Link;9:API Glossary,,modular_upc_location,Specifies whether to apply the product squeeze and expand factors only to positions set to use the Unit merchandising style.1=yes 0=no
src_bu_cd,Source Business Unit Code,APPROVED,9:API Glossary,,ecomm_subscriptions,Codes for the Business Unit Name. Examples:WALMART-US: 0WALMART-CA: 1WALMART-MX: 7
src_rcv_ts,Src Rcv Ts,APPROVED,6:Digital Landscapes,,,The date and time the source data file was received for processing and loading into a Data Lake / Data Warehouse table.
src_vertical_cd,Source Vertical Code,APPROVED,9:API Glossary,,ecomm_subscriptions,A unique code provided by the source for identifying a Vertical.
ss_order_whpk_cost_amt,Staple Stock Warehouse Pack Cost Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"This year's Staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ty_ss_order_whpk_qty * whpk_cost_amt. Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ss_order_whpk_cost_amt,Staple Stock Warehouse Pack Cost Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,Last year's Staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ty\_ss\_order\_whpk\_qty \* whpk\_cost\_amt.
ss_order_whpk_cost_amt,Staple Stock Warehouse Pack Cost Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,This year's Staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ty\_ss\_order\_whpk\_qty \* whpk\_cost\_amt.
ss_order_whpk_cost_amt,Staple Stock Warehouse Pack Cost Amount EOP,APPROVED,13:Report Builder,dc_metrics,,This year's Staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ty\_ss\_order\_whpk\_qty \* whpk\_cost\_amt. Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
ss_order_whpk_rtl_amt,Staple Stock Order Warehouse Pack Sell Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"Staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ss_order_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ss_order_whpk_rtl_amt,Staple Stock Order Warehouse Pack Sell Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,"Last year staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ss_order_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ss_order_whpk_rtl_amt,Staple Stock Order Warehouse Pack Sell Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,"This year staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ss_order_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ss_order_whpk_rtl_amt,Staple Stock Order Warehouse Pack Sell Amount EOP,APPROVED,13:Report Builder,dc_metrics,,This year staple Stock warehouse pack cost of this item on outstanding (not received) purchase orders as of the current inventory date. This amount is shown in dollars ($). Calculated as: ss_order_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is related to how much is charged to the store by the warehouse.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
ss_ship_whpk_qty,Staple Stock Order Warehouse Quantity in units,APPROVED,13:Report Builder,custom_datasets;dc_metrics,,It is the total number of individual units of staple stock currently on order.Calculation: Warehouse Packs Staple Stock on Order X Warehouse Pack Each Quantity
ss_ship_whpk_qty,Staple Stock Order Warehouse Quantity in units-EOP,APPROVED,13:Report Builder,dc_metrics,,It is the total number of individual units of staple stock currently on order.Calculation: Warehouse Packs Staple Stock on Order X Warehouse Pack Each Quantity
ss_ship_whpk_qty,Staple Stock Ship Warehouse Pack Quantity,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"The Staple Stock merchandise in warehouse packs shipped by the DC to stores. DC also considers this as sales.This quantity is shown in packs.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ss_ship_whpk_qty,Staple Stock Ship Warehouse Pack Quantity - Last Year,APPROVED,5:BI Link,,dc_item_measures,"The Staple Stock merchandise in warehouse packs shipped by the DC to stores, last year. DC also considers this as sales.This quantity is shown in packs."
ss_ship_whpk_qty,Staple Stock Ship Warehouse Pack Quantity - This Year,APPROVED,5:BI Link,,dc_item_measures,"The Staple Stock merchandise in warehouse packs shipped by the DC to stores, this year. DC also considers this as sales.This quantity is shown in packs."
ss_ship_whpk_qty,Staple Stock Ship Warehouse Pack Quantity EOP,APPROVED,13:Report Builder,dc_metrics,,The Staple Stock merchandise in warehouse packs shipped by the DC to stores. DC also considers this as sales.This quantity is shown in packs.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
ss_ship_whpk_qty,Staple Stock Ship Warehouse Quantity in units,APPROVED,13:Report Builder,custom_datasets;dc_metrics,,It is the total number of individual units of Staple Stock merchandise that have been shipped from the Distribution Center (DC) to stores.Calculation: Staple Stock Ship Warehouse Pack Quantity X Warehouse Pack Each Quantity
ss_ship_whpk_qty,Staple Stock Ship Warehouse Quantity in units-EOP,APPROVED,13:Report Builder,dc_metrics,,It is the total number of individual units of Staple Stock merchandise that have been shipped from the Distribution Center (DC) to stores.Calculation: Staple Stock Ship Warehouse Pack Quantity X Warehouse Pack Each Quantity
st_addr_line_1,DC Street Address of the Location,APPROVED,13:Report Builder,order_forecast,,Street address of the warehouse location.
st_addr_line_1,Street Address Line 1,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;modular_plan_metrics;omni_otif;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_dimensions;store_dimensions,The street address of the store location or warehouse street address.
st_addr_line_1,Street Address Line of the Location,APPROVED,13:Report Builder,ecomm_inventory,,The street address of the store location.
st_addr_line_1,Street Address of the Location,APPROVED,13:Report Builder,custom_datasets;dc_metrics,,Street address of the warehouse location.
st_addr_line_2,Street Address Line 2,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_dimensions;store_dimensions,The street address of the store location.
st_addr_line_3,Street Address Line 3,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_dimensions;store_dimensions,The street address of the store location.
st_addr_line_4,Street Address Line 4,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_dimensions;store_dimensions,The street address of the store location.
st_prov_cd,State/Province Code,APPROVED,5:BI Link,,dc_dimensions,This is the state or province code in which the Distribution Center(DC) or store resides.
